kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
22,nedelja,2/2/20,12:00 PM,1244,19,CD Leganés,681,6,Real Sociedad,2,3,1,0,13,6,19,0
22,nedelja,2/2/20,2:00 PM,1533,15,SD Eibar,150,12,Real Betis,1,1,1,1,3,12,15,1
22,nedelja,2/2/20,4:00 PM,621,9,Athletic,3709,5,Getafe,0,0,2,3,4,5,9,0
22,nedelja,2/2/20,6:30 PM,368,3,Sevilla FC,1108,14,Alavés,1,1,1,1,11,3,14,1
22,nedelja,2/2/20,6:30 PM,1050,8,Villarreal,331,10,CA Osasuna,3,3,1,0,2,8,10,0
22,nedelja,2/2/20,9:00 PM,131,2,FC Barcelona,3368,13,Levante,2,3,1,0,11,2,13,0
23,petek,2/7/20,9:00 PM,1108,15,Alavés,1533,16,SD Eibar,2,3,1,0,1,15,16,0
23,sobota,2/8/20,1:00 PM,3368,13,Levante,1244,17,CD Leganés,2,3,0,0,4,13,17,0
23,sobota,2/8/20,4:00 PM,3709,4,Getafe,1049,5,Valencia,3,3,0,0,1,4,5,0
23,sobota,2/8/20,6:30 PM,366,14,Real Valladolid,1050,7,Villarreal,1,1,1,1,7,7,14,1
23,sobota,2/8/20,9:00 PM,13,6,Atlético Madrid,16795,10,Granada CF,1,3,0,0,4,6,10,0
23,nedelja,2/9/20,12:00 PM,714,20,Espanyol,237,18,RCD Mallorca,1,3,0,0,2,18,20,0
23,nedelja,2/9/20,2:00 PM,681,8,Real Sociedad,621,9,Athletic,2,3,1,0,1,8,9,0
23,nedelja,2/9/20,4:00 PM,331,11,CA Osasuna,418,1,Real Madrid,1,0,4,3,10,1,11,0
23,nedelja,2/9/20,6:30 PM,940,19,Celta de Vigo,368,3,Sevilla FC,2,3,1,0,16,3,19,0
23,nedelja,2/9/20,9:00 PM,150,12,Real Betis,131,2,FC Barcelona,2,0,3,3,10,2,12,0
24,petek,2/14/20,9:00 PM,1049,7,Valencia,13,4,Atlético Madrid,2,1,2,1,3,4,7,1
24,sobota,2/15/20,1:00 PM,237,19,RCD Mallorca,1108,14,Alavés,1,3,0,0,5,14,19,0
24,sobota,2/15/20,4:00 PM,131,2,FC Barcelona,3709,3,Getafe,2,3,1,0,1,2,3,0
