kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
7,sobota,9/28/19,9:00 PM,3,Atlético Madrid,1,Real Madrid,0,0
7,nedelja,9/29/19,12:00 PM,16,Espanyol,13,Real Valladolid,0,2
7,nedelja,9/29/19,2:00 PM,18,SD Eibar,14,Celta de Vigo,2,0
7,nedelja,9/29/19,4:00 PM,17,Alavés,19,RCD Mallorca,2,0
7,nedelja,9/29/19,6:30 PM,11,Levante,12,CA Osasuna,1,1
7,nedelja,9/29/19,9:00 PM,7,Sevilla FC,2,Real Sociedad,3,2
8,petek,10/4/19,9:00 PM,11,Real Betis,14,SD Eibar,1,1
8,sobota,10/5/19,1:00 PM,20,CD Leganés,15,Levante,1,2
8,sobota,10/5/19,4:00 PM,1,Real Madrid,2,Granada CF,4,2
8,sobota,10/5/19,6:30 PM,9,Valencia,12,Alavés,2,1
8,sobota,10/5/19,9:00 PM,13,CA Osasuna,8,Villarreal,2,1
8,nedelja,10/6/19,12:00 PM,19,RCD Mallorca,18,Espanyol,2,0
8,nedelja,10/6/19,2:00 PM,17,Celta de Vigo,7,Athletic,1,0
8,nedelja,10/6/19,4:00 PM,10,Real Valladolid,3,Atlético Madrid,0,0
8,nedelja,10/6/19,6:30 PM,6,Real Sociedad,16,Getafe,1,2
8,nedelja,10/6/19,9:00 PM,4,FC Barcelona,5,Sevilla FC,4,0
9,petek,10/18/19,9:00 PM,4,Granada CF,9,CA Osasuna,1,0
9,sobota,10/19/19,1:00 PM,14,SD Eibar,2,FC Barcelona,0,3
9,sobota,10/19/19,4:00 PM,3,Atlético Madrid,7,Valencia,1,1
9,sobota,10/19/19,6:30 PM,12,Getafe,20,CD Leganés,2,0
9,sobota,10/19/19,9:00 PM,18,RCD Mallorca,1,Real Madrid,1,0
9,nedelja,10/20/19,12:00 PM,17,Alavés,16,Celta de Vigo,2,0
9,nedelja,10/20/19,2:00 PM,6,Real Sociedad,15,Real Betis,3,1
9,nedelja,10/20/19,4:00 PM,19,Espanyol,11,Villarreal,0,1
