kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
15,nedelja,12/8/19,8:45 PM,1025,13,Bologna,5,12,AC Milan,2,0,3,3,1,12,13,0
16,sobota,12/14/19,3:00 PM,19,19,Brescia,1005,15,Lecce,3,3,0,0,4,15,19,0
16,sobota,12/14/19,6:30 PM,6195,7,SSC Napoli,130,8,Parma,1,0,2,3,1,7,8,0
16,sobota,12/14/19,8:45 PM,252,18,Genoa,1038,17,Sampdoria,0,0,1,3,1,17,18,0
16,nedelja,12/15/19,12:30 PM,276,12,Hellas Verona,416,9,Torino,3,1,3,1,3,9,12,1
16,nedelja,12/15/19,3:00 PM,1025,13,Bologna,800,6,Atalanta,2,3,1,0,7,6,13,0
16,nedelja,12/15/19,3:00 PM,506,2,Juventus,410,16,Udinese Calcio,3,3,1,0,14,2,16,0
16,nedelja,12/15/19,3:00 PM,5,10,AC Milan,6574,11,Sassuolo,0,1,0,1,1,10,11,1
16,nedelja,12/15/19,6:00 PM,12,5,AS Roma,2722,20,SPAL,3,3,1,0,15,5,20,0
16,nedelja,12/15/19,8:45 PM,430,14,Fiorentina,46,1,Inter,1,1,1,1,13,1,14,1
16,ponedeljek,12/16/19,8:45 PM,1390,4,Cagliari Calcio,398,3,Lazio,1,0,2,3,1,3,4,0
17,sreda,12/18/19,6:55 PM,1038,15,Sampdoria,506,1,Juventus,1,0,2,3,14,1,15,0
17,petek,12/20/19,8:45 PM,430,14,Fiorentina,12,4,AS Roma,1,0,4,3,10,4,14,0
17,sobota,12/21/19,3:00 PM,410,17,Udinese Calcio,1390,5,Cagliari Calcio,2,3,1,0,12,5,17,0
17,sobota,12/21/19,6:00 PM,46,2,Inter,252,19,Genoa,4,3,0,0,17,2,19,0
17,sobota,12/21/19,8:45 PM,416,8,Torino,2722,20,SPAL,1,0,2,3,12,8,20,0
17,nedelja,12/22/19,12:30 PM,800,6,Atalanta,5,10,AC Milan,5,3,0,0,4,6,10,0
17,nedelja,12/22/19,3:00 PM,1005,16,Lecce,1025,13,Bologna,2,0,3,3,3,13,16,0
17,nedelja,12/22/19,3:00 PM,130,7,Parma,19,18,Brescia,1,1,1,1,11,7,18,1
17,nedelja,12/22/19,8:45 PM,6574,11,Sassuolo,6195,9,SSC Napoli,1,0,2,3,2,9,11,0
17,sreda,2/5/20,8:45 PM,398,3,Lazio,276,12,Hellas Verona,0,1,0,1,9,3,12,1
18,nedelja,1/5/20,12:30 PM,19,18,Brescia,398,3,Lazio,1,0,2,3,15,3,18,0
18,nedelja,1/5/20,3:00 PM,2722,19,SPAL,276,12,Hellas Verona,0,0,2,3,7,12,19,0
18,nedelja,1/5/20,6:00 PM,252,20,Genoa,6574,13,Sassuolo,2,3,1,0,7,13,20,0
18,nedelja,1/5/20,8:45 PM,12,4,AS Roma,416,10,Torino,0,0,2,3,6,4,10,0
18,ponedeljek,1/6/20,12:30 PM,1025,9,Bologna,430,15,Fiorentina,1,1,1,1,6,9,15,1
18,ponedeljek,1/6/20,3:00 PM,800,5,Atalanta,130,7,Parma,5,3,0,0,2,5,7,0
18,ponedeljek,1/6/20,3:00 PM,506,1,Juventus,1390,6,Cagliari Calcio,4,3,0,0,5,1,6,0
18,ponedeljek,1/6/20,3:00 PM,5,11,AC Milan,1038,17,Sampdoria,0,1,0,1,6,11,17,1
18,ponedeljek,1/6/20,6:00 PM,1005,16,Lecce,410,14,Udinese Calcio,0,0,1,3,2,14,16,0
18,ponedeljek,1/6/20,8:45 PM,6195,8,SSC Napoli,46,2,Inter,1,0,3,3,6,2,8,0
19,sobota,1/11/20,3:00 PM,1390,6,Cagliari Calcio,5,12,AC Milan,0,0,2,3,6,6,12,0
19,sobota,1/11/20,6:00 PM,398,3,Lazio,6195,8,SSC Napoli,1,3,0,0,5,3,8,0
19,sobota,1/11/20,8:45 PM,46,2,Inter,800,5,Atalanta,1,1,1,1,3,2,5,1
19,nedelja,1/12/20,12:30 PM,410,13,Udinese Calcio,6574,14,Sassuolo,3,3,0,0,1,13,14,0
19,nedelja,1/12/20,3:00 PM,430,15,Fiorentina,2722,20,SPAL,1,3,0,0,5,15,20,0
19,nedelja,1/12/20,3:00 PM,1038,16,Sampdoria,19,19,Brescia,5,3,1,0,3,16,19,0
19,nedelja,1/12/20,3:00 PM,416,9,Torino,1025,10,Bologna,1,3,0,0,1,9,10,0
